ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_Clean
978-1-00-751674-9,Switchable methodical emulation,Kieran Dennis,Young Adult,1960,8,2020-03-25,Reserved,978-1-00-751674-9
978-1-358-18217-4,Decentralized uniform software,David Clarke,Children,1978,5,2021-06-28,Damaged,978-1-358-18217-4
978-1-874779-35-3,Front-line non-volatile matrices,Mr Terry Francis,Young Adult,2011,7,2023-04-15,Missing,978-1-874779-35-3
978-1-383-56999-5,Decentralized interactive capacity,Charles Lewis,Children,2022,2,2017-02-23,Missing,978-1-383-56999-5
978-0-252-01930-2,Business-focused local matrices,Leah Byrne,Children,1993,8,2025-08-31,Checked Out,978-0-252-01930-2
978-1-69126-719-4,Optional mobile synergy,Charlotte Vincent-Cooper,Young Adult,1959,8,2024-10-13,Missing,978-1-69126-719-4
978-1-993353-03-8,Open-architected encompassing neural-net,Miss Vanessa Roberts,Non-Fiction,2006,4,2019-02-25,Reserved,978-1-993353-03-8
978-0-87830-568-1,Devolved executive Graphical User Interface,Abigail Hunter,Reference,2022,2,2023-12-18,Checked Out,978-0-87830-568-1
978-1-5335-5262-4,Profound impactful frame,Dr Jamie Knight,Reference,1998,0,2022-02-01,Reserved,978-1-5335-5262-4
978-0-948747-81-6,User-friendly explicit functionalities,Angela Fletcher,Non-Fiction,1984,4,2025-05-05,Reserved,978-0-948747-81-6
978-0-8269-9345-8,Proactive intangible instruction set,Terence Wells,Fiction,1973,5,2019-12-05,Damaged,978-0-8269-9345-8
978-1-392-22931-6,Enhanced foreground flexibility,Rita Hall,Young Adult,1957,2,2021-11-20,Available,978-1-392-22931-6
978-1-86503-947-3,Extended contextually-based array,Sharon Palmer,Young Adult,2016,2,2021-11-19,Missing,978-1-86503-947-3
978-0-557-77917-8,Customer-focused neutral installation,Jeffrey Jennings,Children,2021,8,2026-06-02,Available,978-0-557-77917-8
978-0-12-434535-5,Extended exuding Graphic Interface,Tom Cook,Young Adult,1963,0,2023-12-18,Checked Out,978-0-12-434535-5
978-0-15-750927-4,Reverse-engineered mobile matrix,Susan Barber,Young Adult,2002,3,2023-01-09,Checked Out,978-0-15-750927-4
9780948036958,Multi-tiered motivating synergy,George Williams,Reference,1987,0,2023-06-26,Checked Out,9780948036958
978-1-62943-391-2,Innovative context-sensitive framework,Clare Evans,Reference,1953,4,2018-05-06,Checked Out,978-1-62943-391-2
978-1-70885-506-2,Programmable scalable leverage,Julie Ross,Young Adult,1982,1,2019-12-27,Checked Out,978-1-70885-506-2
978-0-944101-04-9,Expanded hybrid contingency,Craig Mills,Young Adult,2020,0,2025-12-10,Missing,978-0-944101-04-9
978-1-9749-3549-9,Open-architected bottom-line middleware,Carol Collins,Young Adult,1990,5,2019-01-24,Available,978-1-9749-3549-9
9780018188969,Triple-buffered neutral flexibility,Tony Jones-Nash,Fiction,2017,6,2017-08-19,Available,9780018188969
978-0-293-57538-6,Self-enabling zero tolerance function,Kevin Roberts,Reference,2009,0,2017-03-07,Damaged,978-0-293-57538-6
9780115703478,Upgradable homogeneous capacity,Christian Murphy,Reference,1976,9,2018-05-30,Checked Out,9780115703478
9781016426244,Triple-buffered contextually-based alliance,Anna Green,Fiction,1980,2,2025-02-23,Missing,9781016426244
978-1-4620-2135-2,Synergistic reciprocal toolset,Marion Fisher,Children,1954,2,2019-12-13,Damaged,978-1-4620-2135-2
978-1-922394-07-1,Distributed reciprocal solution,Damian Hobbs,Children,1987,2,2026-04-22,Reserved,978-1-922394-07-1
978-1-343-46609-8,Vision-oriented needs-based access,Alison Wilson,Fiction,1958,6,2024-11-23,Reserved,978-1-343-46609-8
978-1-70060-398-2,Diverse disintermediate functionalities,Dr Maurice Patel,Young Adult,1996,5,2020-10-29,Reserved,978-1-70060-398-2
978-0-7951-6352-4,Realigned didactic secured line,Garry Brookes,Young Adult,1988,8,2017-02-12,Damaged,978-0-7951-6352-4
9781120224170,Horizontal optimal archive,Mrs Katherine Mills,Non-Fiction,1969,8,2020-11-07,Available,9781120224170
978-1-168-09564-0,Ergonomic real-time interface,Mr Albert Kemp,Fiction,2013,10,2022-12-16,Available,978-1-168-09564-0
978-1-4133-3665-8,Virtual bifurcated productivity,Donna Gallagher,Children,2000,0,2024-06-02,Reserved,978-1-4133-3665-8
978-0-85915-658-5,Inverse next generation firmware,Miss Jayne May,Children,2011,3,2022-04-22,Missing,978-0-85915-658-5
978-1-915782-90-8,Exclusive dynamic utilization,Dr Shane Green,Children,1964,0,2025-10-02,Missing,978-1-915782-90-8
9780492219111,Reactive zero tolerance structure,Ms Tina West,Young Adult,1950,0,2025-03-28,Damaged,9780492219111
978-0-9994814-1-7,Reverse-engineered reciprocal utilization,Claire Norris-Taylor,Young Adult,1964,6,2023-11-28,Available,978-0-9994814-1-7
978-0-13-856993-8,Persistent client-server leverage,Eric Dyer,Children,1974,1,2016-09-26,Damaged,978-0-13-856993-8
978-1-265-20120-3,Devolved modular knowledgebase,Alan Jordan-Scott,Young Adult,2001,0,2025-12-24,Checked Out,978-1-265-20120-3
978-1-4020-9844-4,Synergized executive utilization,Miss Margaret Hill,Children,1987,5,2022-07-06,Damaged,978-1-4020-9844-4
978-1-65948-182-2,Cross-platform methodical encoding,Mrs Kathryn Stewart,Reference,2009,9,2021-09-29,Available,978-1-65948-182-2
978-0-913675-91-5,Organized value-added Graphical User Interface,Abigail Young,Reference,1960,4,2018-02-09,Checked Out,978-0-913675-91-5
978-1-4915-3218-8,Customizable human-resource frame,Gail Hancock,Non-Fiction,1999,9,2026-03-18,Damaged,978-1-4915-3218-8
978-0-13-085231-1,Cross-group bifurcated support,Peter Whittaker,Children,2008,5,2024-03-25,Reserved,978-0-13-085231-1
9781823428400,Streamlined real-time Graphic Interface,Vanessa Moore-Brooks,Children,2000,0,2017-10-31,Damaged,9781823428400
978-0-462-67132-1,Upgradable attitude-oriented projection,Victoria Hunt,Reference,1974,4,2023-06-08,Checked Out,978-0-462-67132-1
978-0-534-23867-4,Re-engineered fault-tolerant toolset,Ms Barbara Smith,Young Adult,1952,5,2017-07-26,Checked Out,978-0-534-23867-4
978-1-76042-939-3,User-friendly methodical open system,Max Smith,Non-Fiction,2017,8,2020-11-15,Checked Out,978-1-76042-939-3
978-1-67408-772-6,Operative optimizing analyzer,Joan Jones,Children,2005,9,2025-05-14,Damaged,978-1-67408-772-6
978-0-7524-0033-4,Secured secondary application,Roger Cross-Walker,Young Adult,1956,8,2021-03-03,Available,978-0-7524-0033-4
978-1-109-72472-1,Synergized bottom-line policy,Terence Lamb,Reference,2009,5,2022-07-12,Missing,978-1-109-72472-1
978-1-265-41689-8,User-centric reciprocal model,Dr Leslie Bell,Reference,1954,4,2025-06-03,Available,978-1-265-41689-8
9780763985233,Sharable didactic installation,Alexandra Akhtar-Palmer,Children,1952,3,2023-06-27,Damaged,9780763985233
978-0-89363-278-6,Centralized grid-enabled function,Ronald Gardner-Wright,Non-Fiction,1989,8,2024-04-26,Damaged,978-0-89363-278-6
978-0-7042-3573-1,Down-sized hybrid leverage,Lucy Robson,Children,1992,1,2021-11-12,Checked Out,978-0-7042-3573-1
978-1-931169-92-9,Grass-roots 24/7 frame,Dr Gavin Barker,Young Adult,1965,9,2021-07-27,Checked Out,978-1-931169-92-9
978-0-534-70507-7,Switchable dynamic workforce,James Williams-Sheppard,Young Adult,1957,2,2019-04-15,Checked Out,978-0-534-70507-7
978-1-75088-494-2,Business-focused 24/7 synergy,Gregory Nicholls,Reference,1976,0,2019-01-14,Missing,978-1-75088-494-2
9780576866217,Sharable methodical toolset,Dr Garry Dodd,Children,1987,3,2020-04-25,Available,9780576866217
9780595194841,Fundamental web-enabled policy,Keith Webster-Cook,Non-Fiction,1960,3,2022-04-06,Reserved,9780595194841
978-1-225-95513-9,Fully-configurable eco-centric monitoring,Karl Swift,Children,1992,7,2019-07-31,Missing,978-1-225-95513-9
978-0-591-54196-0,Quality-focused analyzing ability,Louise Watson,Reference,1953,0,2023-02-24,Damaged,978-0-591-54196-0
978-1-110-96745-2,Organic interactive focus group,Miss Caroline Rees,Non-Fiction,1993,6,2023-10-07,Damaged,978-1-110-96745-2
978-0-636-59050-2,Synchronized holistic solution,Leslie Armstrong,Reference,2012,2,2017-10-29,Checked Out,978-0-636-59050-2
978-0-7372-2342-2,Synchronized responsive leverage,Samantha West-Barnes,Fiction,1998,10,2025-11-30,Checked Out,978-0-7372-2342-2
978-1-870323-81-9,Decentralized coherent moratorium,Trevor Hussain-Wall,Young Adult,1994,7,2022-11-12,Missing,978-1-870323-81-9
978-0-7189-9354-2,Phased 3rdgeneration encoding,Ronald Birch,Non-Fiction,2006,1,2025-03-03,Reserved,978-0-7189-9354-2
978-1-211-27596-8,Operative multimedia hub,Antony Wilson,Fiction,1956,4,2022-06-20,Available,978-1-211-27596-8
978-1-311-49331-6,Multi-tiered secondary portal,Barbara Johnson,Non-Fiction,2001,7,2020-04-17,Damaged,978-1-311-49331-6
978-1-230-65940-4,Robust discrete encoding,Jodie Dickinson,Young Adult,1998,7,2025-11-05,Missing,978-1-230-65940-4
978-0-8180-3648-4,Cross-group homogeneous data-warehouse,Tony White,Children,2024,10,2017-07-15,Checked Out,978-0-8180-3648-4
978-0-00-218241-6,Decentralized logistical collaboration,Mr Leslie Hardy,Non-Fiction,1966,4,2024-07-01,Missing,978-0-00-218241-6
978-0-8170-2846-6,Polarized fault-tolerant model,Melanie Gill,Young Adult,2011,3,2018-04-17,Damaged,978-0-8170-2846-6
978-1-878732-14-9,Optional scalable application,Roy Davis,Fiction,2003,7,2022-07-20,Reserved,978-1-878732-14-9
9780320434747,Customer-focused responsive moderator,Marian Butcher,Children,2007,9,2019-03-19,Available,9780320434747
978-0-442-10651-5,Automated zero-defect infrastructure,Irene Johnson,Non-Fiction,1953,9,2023-08-21,Reserved,978-0-442-10651-5
978-0-460-10413-5,Seamless responsive infrastructure,Jacqueline Cole,Children,1983,10,2021-12-21,Available,978-0-460-10413-5
978-0-555-79420-3,User-friendly empowering orchestration,Mr Leslie Read,Non-Fiction,2018,9,2016-07-23,Reserved,978-0-555-79420-3
978-0-239-56721-5,Cross-platform mobile knowledgebase,Clare Wheeler,Children,1976,8,2017-10-31,Missing,978-0-239-56721-5
978-1-189-89878-7,Persevering grid-enabled archive,Alice Hodgson,Non-Fiction,1998,9,2024-03-30,Damaged,978-1-189-89878-7
978-1-67751-387-1,Mandatory local parallelism,Mrs Linda Smith,Young Adult,2023,4,2017-02-06,Available,978-1-67751-387-1
978-0-239-81893-5,Diverse empowering ability,June Morton,Non-Fiction,1999,6,2018-02-05,Damaged,978-0-239-81893-5
978-0-04-873045-9,Configurable foreground pricing structure,Terry Austin-Reed,Children,2019,8,2019-07-31,Damaged,978-0-04-873045-9
978-1-55868-173-6,Cloned client-server firmware,Dennis Jones,Reference,2024,6,2016-08-03,Missing,978-1-55868-173-6
978-0-88079-640-8,Adaptive regional forecast,Leanne Smith,Fiction,2016,7,2021-12-25,Missing,978-0-88079-640-8
978-0-575-85939-5,Horizontal asymmetric budgetary management,Christian Hill,Young Adult,1979,9,2023-09-04,Available,978-0-575-85939-5
9781362054498,Face-to-face intangible application,Ms Holly Thomas,Children,1965,8,2026-04-11,Checked Out,9781362054498
978-0-927195-40-9,Configurable dedicated alliance,Melanie Hall,Children,2024,0,2018-10-29,Missing,978-0-927195-40-9
9780856702075,Multi-layered demand-driven contingency,Lawrence Clark,Children,1956,10,2018-03-14,Reserved,9780856702075
978-1-378-42055-3,Face-to-face bottom-line installation,Darren Fletcher,Children,1983,7,2017-11-12,Reserved,978-1-378-42055-3
978-1-354-40789-9,Reduced intangible support,Henry Collins-Jones,Non-Fiction,2008,0,2019-10-30,Damaged,978-1-354-40789-9
978-1-78889-221-6,Realigned background forecast,Emily Brooks-Smith,Non-Fiction,1996,4,2019-12-08,Reserved,978-1-78889-221-6
978-0-7204-0947-5,Distributed static attitude,Dr Jessica Dale,Children,1969,7,2023-03-18,Missing,978-0-7204-0947-5
978-0-246-17578-6,Down-sized exuding workforce,Dr Carl Bell,Young Adult,1958,0,2025-12-29,Missing,978-0-246-17578-6
978-1-104-86671-6,Progressive mission-critical open system,Mandy Cunningham,Children,1982,7,2019-12-31,Checked Out,978-1-104-86671-6
978-1-4262-4470-4,User-centric asynchronous emulation,Richard Martin,Reference,2010,4,2020-01-04,Available,978-1-4262-4470-4
978-1-71101-877-5,User-centric optimal knowledge user,Dr Mathew Robinson,Young Adult,1990,1,2025-07-31,Missing,978-1-71101-877-5
978-0-325-70443-2,Realigned modular middleware,Jacob Spencer,Non-Fiction,1965,4,2021-08-13,Damaged,978-0-325-70443-2
978-1-324-66899-2,Operative methodical process improvement,Nathan Richards,Fiction,1980,7,2025-06-09,Missing,978-1-324-66899-2
978-1-903043-81-3,Optional radical definition,Derek Hicks,Non-Fiction,2021,0,2025-04-27,Checked Out,978-1-903043-81-3
978-1-998992-46-1,Reverse-engineered stable groupware,Dr Colin Holland,Children,2002,8,2017-01-03,Missing,978-1-998992-46-1
978-1-70481-130-7,Intuitive cohesive capability,Kathleen Henderson,Reference,1964,10,2025-08-18,Available,978-1-70481-130-7
978-1-4323-1456-9,Decentralized empowering instruction set,Guy Archer,Reference,1997,8,2025-05-02,Damaged,978-1-4323-1456-9
978-0-8127-5917-4,Reverse-engineered uniform emulation,Deborah Kelly,Young Adult,2008,0,2020-10-19,Damaged,978-0-8127-5917-4
978-0-343-74325-3,Synergized stable forecast,Joseph Stevens,Children,1953,1,2019-09-24,Checked Out,978-0-343-74325-3
978-1-4053-6251-1,Synergistic system-worthy throughput,Olivia Jenkins,Reference,1977,9,2021-05-16,Checked Out,978-1-4053-6251-1
978-0-11-541119-9,Customizable 6thgeneration focus group,Kate Simmons,Children,2000,7,2024-07-21,Missing,978-0-11-541119-9
978-0-06-071369-0,Realigned full-range standardization,Sarah Smith,Young Adult,1988,10,2016-07-24,Damaged,978-0-06-071369-0
978-0-05-221442-6,Compatible incremental focus group,Mr Aaron Payne,Non-Fiction,1961,7,2026-05-08,Damaged,978-0-05-221442-6
978-1-353-84256-1,Total maximized system engine,Marc Clarke,Fiction,2016,6,2017-08-07,Checked Out,978-1-353-84256-1
978-0-615-99944-9,Realigned 3rdgeneration Internet solution,Jack White,Young Adult,2002,7,2024-12-03,Missing,978-0-615-99944-9
978-1-184-55375-9,Profit-focused optimizing artificial intelligence,Kathleen Willis,Young Adult,1958,6,2017-12-19,Checked Out,978-1-184-55375-9
978-1-82950-814-4,Robust object-oriented workforce,Chloe Savage,Non-Fiction,2021,6,2017-12-17,Checked Out,978-1-82950-814-4
978-0-232-35859-9,Function-based executive architecture,Charles Myers,Reference,1965,3,2017-03-09,Available,978-0-232-35859-9
978-1-80352-880-9,Operative zero-defect instruction set,Jacob Stewart-Hooper,Non-Fiction,1968,6,2024-09-18,Checked Out,978-1-80352-880-9
978-0-7507-8197-8,Ameliorated real-time pricing structure,Dr Maria Cooper,Children,2016,6,2024-10-04,Reserved,978-0-7507-8197-8
978-1-4425-2477-4,Compatible secondary emulation,Natalie Hamilton-Wilson,Fiction,1982,6,2018-05-02,Damaged,978-1-4425-2477-4
978-1-4449-6493-6,Face-to-face bandwidth-monitored firmware,Connor Butler,Children,1985,9,2025-06-11,Damaged,978-1-4449-6493-6
978-1-64006-069-2,Programmable secondary collaboration,Mr Stuart Owen,Young Adult,1953,5,2022-08-04,Checked Out,978-1-64006-069-2
978-1-4862-7553-3,Open-architected dynamic focus group,Shane Mason-Thompson,Young Adult,1988,4,2024-11-06,Checked Out,978-1-4862-7553-3
978-1-938546-09-9,Down-sized upward-trending flexibility,Dr Lee Bowen,Children,2022,10,2024-02-15,Reserved,978-1-938546-09-9
978-0-10-407254-7,Focused object-oriented attitude,Miss Jennifer Williams,Children,1963,2,2025-06-11,Available,978-0-10-407254-7
978-0-9601609-9-0,Organic value-added customer loyalty,Teresa Jones,Young Adult,1998,2,2017-11-05,Available,978-0-9601609-9-0
9780470792629,Function-based 24/7 emulation,Miss Marian Myers,Reference,1954,1,2016-11-24,Checked Out,9780470792629
978-0-7431-6032-2,Team-oriented composite secured line,Miss Rebecca Williams,Reference,1981,4,2019-03-10,Missing,978-0-7431-6032-2
978-0-394-39884-6,User-friendly responsive secured line,Dr Kirsty Owen,Non-Fiction,2018,0,2017-02-20,Available,978-0-394-39884-6
978-0-7895-2361-7,Digitized mission-critical synergy,Owen Sinclair,Reference,1970,0,2018-09-10,Reserved,978-0-7895-2361-7
978-1-964549-59-0,Re-engineered bifurcated capacity,Ellie Cooper,Non-Fiction,1999,5,2023-11-08,Available,978-1-964549-59-0
978-1-81273-174-0,Optional explicit firmware,Danielle Grant,Children,1995,6,2016-07-16,Missing,978-1-81273-174-0
978-1-183-22402-5,Compatible user-facing hub,David Lloyd,Young Adult,2003,9,2022-02-05,Available,978-1-183-22402-5
978-0-627-61764-5,Function-based 24/7 encoding,Eileen O'Brien,Fiction,1960,9,2026-02-07,Checked Out,978-0-627-61764-5
978-1-04-655112-1,Profit-focused directional toolset,Caroline Cooper-Robson,Non-Fiction,1974,1,2020-03-10,Reserved,978-1-04-655112-1
978-0-8110-5022-7,Optimized dedicated adapter,Victor Thomas,Non-Fiction,1988,0,2020-10-04,Reserved,978-0-8110-5022-7
978-0-7459-5282-6,Intuitive neutral application,Gareth Griffin-Dixon,Fiction,1990,10,2025-09-24,Damaged,978-0-7459-5282-6
978-1-77423-935-3,Open-source exuding function,Miss Janet Fry,Children,2015,4,2017-06-08,Checked Out,978-1-77423-935-3
978-0-373-27839-8,Switchable object-oriented collaboration,Connor Robinson-Brown,Young Adult,2004,8,2017-11-12,Damaged,978-0-373-27839-8
978-0-15-100260-3,Profit-focused dedicated utilization,Carly Fleming-Clarke,Fiction,1972,7,2021-11-10,Damaged,978-0-15-100260-3
978-1-214-34869-0,Implemented full-range Graphic Interface,Mr Frank Gordon,Reference,1975,3,2022-12-12,Checked Out,978-1-214-34869-0
978-1-371-55731-7,Down-sized regional service-desk,Steven Carr,Non-Fiction,1992,6,2016-09-11,Missing,978-1-371-55731-7
978-1-208-98318-0,Universal mobile paradigm,Ashley Phillips,Children,1969,0,2026-05-30,Available,978-1-208-98318-0
978-0-09-507933-4,Advanced asymmetric ability,Dr Jasmine Chambers,Reference,1984,4,2022-04-07,Reserved,978-0-09-507933-4
978-1-312-97341-1,Polarized methodical policy,Jade Singh,Young Adult,2000,6,2023-09-24,Available,978-1-312-97341-1
978-1-02-759082-8,Function-based real-time implementation,Kathleen Macdonald-Davies,Young Adult,1972,9,2024-11-05,Reserved,978-1-02-759082-8
978-0-09-072208-2,Customizable impactful paradigm,Ms Rita Knight,Fiction,2003,4,2022-02-18,Available,978-0-09-072208-2
978-0-218-94523-2,Reduced logistical paradigm,Stephanie Knight,Fiction,1977,1,2025-11-12,Missing,978-0-218-94523-2
978-1-02-331599-9,Secured intermediate core,Dr Frank Harvey,Children,1958,10,2024-07-18,Damaged,978-1-02-331599-9
9781175790323,Synchronized dedicated success,Sally Clarke,Non-Fiction,1973,10,2026-02-17,Damaged,9781175790323
978-0-88806-094-5,Open-architected 5thgeneration hierarchy,Bernard Wright-Kaur,Children,1967,3,2019-08-17,Reserved,978-0-88806-094-5
978-1-5024-1300-0,Intuitive multi-tasking capability,Karen Hamilton,Young Adult,1997,5,2020-03-08,Reserved,978-1-5024-1300-0
978-1-75875-585-5,Integrated logistical hierarchy,Louise Smith,Young Adult,1958,2,2020-03-17,Available,978-1-75875-585-5
978-1-914504-97-6,Front-line mission-critical service-desk,Damien Henderson,Non-Fiction,2019,4,2021-08-09,Damaged,978-1-914504-97-6
978-0-669-46272-2,Automated tertiary approach,Sarah Mann,Young Adult,1972,6,2018-09-21,Reserved,978-0-669-46272-2
978-1-181-42043-6,Programmable modular project,Mr Ross May,Children,1956,1,2024-03-28,Missing,978-1-181-42043-6
978-1-04-621764-5,Networked transitional architecture,Marcus Wood,Reference,1972,8,2024-02-06,Missing,978-1-04-621764-5
978-1-939416-67-4,Distributed stable challenge,Mrs Abbie Cole,Fiction,1988,10,2024-05-13,Checked Out,978-1-939416-67-4
